Price,Close,High,Low,Open,Volume,Daily_Return,Volatility_20D,Volatility_60D_Avg,Signal,Buy_Hold_Return,Strategy_Return,Buy_Hold_Cumulative,Strategy_Cumulative
Ticker,SPY,SPY,SPY,SPY,SPY,,,,,,,,
Date,,,,,,,,,,,,,
2023-04-28,399.22344970703125,399.23305741321724,394.90419994068407,394.9617875942257,89433100,0.008535242694053258,0.007959352039329627,0.009884950081858246,1,0.008535242694053258,0.008535242694053258,1.0085352426940533,1.0085352426940533
2023-05-01,398.8202819824219,400.845515871164,398.5899021077479,398.781880454679,62122300,-0.0010098798677914411,0.007400714160350239,0.009830371976495212,1,-0.0010098798677914411,-0.0010098798677914411,1.0075167432564984,1.0075167432564984
2023-05-02,394.337890625,398.1580375216088,391.4392047424731,398.11002828382885,103998500,-0.011239125891845836,0.007827869661982317,0.009783897407035929,1,-0.011239125891845836,-0.011239125891845836,0.9961931357408961,0.9961931357408961
2023-05-03,391.631103515625,397.2461331896153,391.3911452329056,394.83694265774216,91531800,-0.006864131430750708,0.007882443958522917,0.009750530102452633,1,-0.006864131430750708,-0.006864131430750708,0.9893551351267589,0.9893551351267589
2023-05-04,388.8572692871094,390.91129731617235,387.5230869408355,390.58495750937874,94901900,-0.007082773057643377,0.008020995180915876,0.009715714662420905,1,-0.007082773057643377,-0.007082773057643377,0.9823477572312419,0.9823477572312419
2023-05-05,396.0560302734375,397.10224508450085,392.2263046733684,392.4854491265273,87891800,0.018512604893629936,0.009023958800648279,0.009690043986887744,1,0.018512604893629936,0.018512604893629936,1.0005335731290075,1.0005335731290075
2023-05-08,396.1615295410156,396.64144612156804,394.76018132750204,396.3823017131118,50046800,0.00026637460236433874,0.009023035518208138,0.009664288421579617,1,0.00026637460236433874,0.00026637460236433874,1.000800089861702,1.000800089861702
2023-05-09,394.4241943359375,395.53760420625383,394.19384377372745,394.616172665633,49220100,-0.004385421287854352,0.009086910600151796,0.009639762904010335,1,-0.004385421287854352,-0.004385421287854352,0.996411159842736,0.996411159842736
2023-05-10,396.26708984375,397.8892100796329,392.4469436701226,397.2557167367632,96142900,0.004672369327939574,0.009081483970141933,0.00961115538992917,1,0.004672369327939574,0.004672369327939574,1.0010667607840018,1.0010667607840018
2023-05-11,395.5760192871094,395.86395749973974,393.502776280826,395.40325635953116,70157100,-0.0017439514265823464,0.008587204971666037,0.009574644933194165,1,-0.0017439514265823464,-0.0017439514265823464,0.9993209489784284,0.9993209489784284
2023-05-12,395.0577392578125,397.0254148728848,392.63897016343816,396.8142503993596,70481500,-0.0013101907194245088,0.0085748578198511,0.00955185055628164,1,-0.0013101907194245088,-0.0013101907194245088,0.9980116479453504,0.9980116479453504
2023-05-15,396.42071533203125,396.8238288685914,393.75238023444746,395.6624389099318,54289400,0.0034500680249407445,0.008571807789098345,0.009521609970191698,1,0.0034500680249407445,0.0034500680249407445,1.001454856020445,1.001454856020445
2023-05-16,393.7716064453125,396.2383850257728,393.7619987390595,395.31692397910456,57705500,-0.006682569261043603,0.008694957769969055,0.009504623335844797,1,-0.006682569261043603,-0.006682569261043603,0.9947625645832799,0.9947625645832799
2023-05-17,398.55157470703125,399.1562450551422,394.14594356293253,395.7872502342352,87287000,0.012138935828484021,0.00913966095713142,0.009481990306051164,1,0.012138935828484021,0.012138935828484021,1.0068379235193345,1.0068379235193345
2023-05-18,402.39093017578125,402.8132591766572,398.0140926137832,398.234835528931,97177200,0.00963327135659231,0.009272509242946283,0.009461543958227504,1,0.00963327135659231,0.00963327135659231,1.0165370664487041,1.0165370664487041
2023-05-19,401.8053283691406,403.82098374117817,400.58635087495577,403.29308725192675,103793300,-0.0014553056809327725,0.009287813312314784,0.009440167392895356,1,-0.0014553056809327725,-0.0014553056809327725,1.0150576942810225,1.0150576942810225
2023-05-22,401.96856689453125,403.50430592203884,400.58640469895295,401.8245977682805,60745400,0.0004062627194447721,0.009288077281188814,0.009419885106140795,1,0.0004062627194447721,0.0004062627194447721,1.0154700743802945,1.0154700743802945
2023-05-23,397.45733642578125,401.9013689419868,397.0638012887145,400.32722839371974,86383500,-0.011222843874589938,0.008899177639024241,0.009392768478438202,1,-0.011222843874589938,-0.011222843874589938,1.0040736122762062,1.0040736122762062
2023-05-24,394.5777893066406,396.2383111304324,393.41639944632345,395.8543837451471,89213700,-0.007244921291516659,0.009017275541356371,0.009373170676570607,1,-0.007244921291516659,-0.007244921291516659,0.9967991779843762,0.9967991779843762
2023-05-25,397.99481201171875,399.4441694496832,395.84479511708275,398.0811934806872,90961600,0.008659946904468585,0.008067773014685031,0.0093482701417287,1,0.008659946904468585,0.008659946904468585,1.0054314059401388,1.0054314059401388
2023-05-26,403.14910888671875,403.8689837488059,398.57071530888675,398.64748907245814,93830000,0.012950663474598834,0.008360057095300725,0.009331062605461172,1,0.012950663474598834,0.012950663474598834,1.0184524097252623,1.0184524097252623
2023-05-30,403.30267333984375,405.60626696953454,401.9205113036728,405.0783704702366,72216000,0.00038091229706305185,0.00835242091516439,0.009311417970421891,1,0.00038091229706305185,0.00038091229706305185,1.0188403507721002,1.0188403507721002
2023-05-31,401.0663146972656,402.3812815149699,399.50178187032054,401.4790359496369,110811800,-0.005545112369472527,0.008018279073370245,0.009290173817988922,1,-0.005545112369472527,-0.005545112369472527,1.0131907665405162,1.0131907665405162
2023-06-01,404.8769226074219,405.93274518176094,400.0489618869255,401.29673356182343,88865000,0.00950119162471319,0.008021789641270916,0.009260877226581771,1,0.00950119162471319,0.00950119162471319,1.0228172861658078,1.0228172861658078
2023-06-02,410.7318115234375,411.51885243910056,406.92127277329087,407.4491692853337,91426200,0.014460910437448238,0.008224951695887911,0.009244513065646453,1,0.014460910437448238,0.014460910437448238,1.0376081553349255,1.0376081553349255
2023-06-05,409.9447937011719,412.3635629860605,409.2441048720611,411.0773899248413,65460200,-0.001916135541940367,0.00739380468406216,0.009205560989586756,1,-0.001916135541940367,-0.001916135541940367,1.035619957469881,1.035619957469881
2023-06-06,410.83746337890625,411.3653599992297,408.8793951634606,409.5321040964684,64022200,0.002177536320622453,0.007385957016109364,0.00916183320043939,1,0.002177536320622453,0.002177536320622453,1.0378750575416331,1.0378750575416331
2023-06-07,409.4168395996094,412.3635345526036,408.9945106484148,411.2309384070294,85373300,-0.003457873017745361,0.007347580265041466,0.009118512780007807,1,-0.003457873017745361,-0.003457873017745361,1.034286217384369,1.034286217384369
2023-06-08,411.8932189941406,412.344341762355,408.71617349799953,409.4840283285931,61952800,0.006048552856186884,0.007381348298960375,0.009068793518929459,1,0.006048552856186884,0.006048552856186884,1.040542152238644,1.040542152238644
2023-06-09,412.63232421875,414.63837227354514,411.6436971048215,412.6899118726264,85742800,0.0017944097900284284,0.007330087709773363,0.009017904450489628,1,0.0017944097900284284,0.0017944097900284284,1.0424093112635582,1.0424093112635582
2023-06-12,416.37567138671875,416.45247445367045,412.89150113320926,413.6113761039967,76104300,0.009071870884221456,0.007439810100958347,0.008953910128797845,1,0.009071870884221456,0.009071870884221456,1.0518659139438513,1.0518659139438513
2023-06-13,419.12078857421875,419.76386044542505,417.1723282571571,417.8346155400201,95899700,0.006592885646650615,0.00749045011377058,0.008892485793680014,1,0.006592885646650615,0.006592885646650615,1.0588007456300927,1.0588007456300927
2023-06-14,419.6199035644531,421.42439480568777,416.1741056268984,419.45674831132544,100612100,0.001190861927732767,0.007164864221083225,0.008820666501553002,1,0.001190861927732767,0.001190861927732767,1.0600616311271187,1.0600616311271187
2023-06-15,424.8221740722656,426.0699454976172,418.7080413628314,418.8040012480244,110303100,0.012397578054858416,0.007182044630363793,0.008756536959472821,1,0.012397578054858416,0.012397578054858416,1.0732038279419778,1.0732038279419778
2023-06-16,423.3751220703125,427.37322020593024,422.9030661850773,426.804818584776,114165800,-0.0034062534638480413,0.007161157728464759,0.008681112881526417,1,-0.0034062534638480413,-0.0034062534638480413,1.0695482236856355,1.0695482236856355
2023-06-20,421.1785888671875,422.32503554227975,419.1072877770987,421.4387253030806,76160400,-0.005188148969131445,0.007318487606251227,0.008609223133504562,1,-0.005188148969131445,-0.005188148969131445,1.0639992481714846,1.0639992481714846
2023-06-21,419.02056884765625,420.9955241203809,418.43288044222425,420.19591625792975,76982300,-0.005123764779533357,0.007499318080485236,0.008542705815151753,1,-0.005123764779533357,-0.005123764779533357,1.0585475662982535,1.0585475662982535
2023-06-22,420.53314208984375,420.6391018260277,417.72964857046975,418.0668439684426,70637200,0.0036097827997971788,0.00681389927135034,0.008465058510869728,1,0.0036097827997971788,0.0036097827997971788,1.062368693095844,1.062368693095844
2023-06-23,417.3538513183594,419.1361444036858,416.6409458444642,417.08410091737835,92074500,-0.007560143192721691,0.006838792204990685,0.008388170697398036,1,-0.007560143192721691,-0.007560143192721691,1.0543370336525748,1.0543370336525748
2023-06-26,415.6487121582031,418.7026693868189,415.40786249787595,416.7855154988048,72823600,-0.004085595843359213,0.0068609413322047,0.008305121008221044,1,-0.004085595843359213,-0.004085595843359213,1.0500294386503841,1.0500294386503841
2023-06-27,420.20556640625,420.82212620155866,416.0725783167209,416.5253768197751,72813700,0.010963234372568964,0.00670968184983669,0.008220374333352324,1,0.010963234372568964,0.010963234372568964,1.0615411574844054,1.0615411574844054
2023-06-28,420.4175720214844,421.4291288943605,418.51003201482644,419.1265918933675,75636000,0.0005045283360891606,0.006708076187418153,0.008137652529463467,1,0.0005045283360891606,0.0005045283360891606,1.0620767350782812,1.0620767350782812
2023-06-29,422.0745544433594,422.2383451446893,419.5986423394109,420.00325329466176,67882300,0.0039412777489480355,0.006470099887380435,0.008050665038957011,1,0.0039412777489480355,0.0039412777489480355,1.0662626744819206,1.0662626744819206
2023-06-30,427.0553283691406,428.0379843526411,424.96474047999936,425.28267848094407,104964000,0.011800696993804705,0.006618374682421011,0.007974960009406755,1,0.011800696993804705,0.011800696993804705,1.0788453172192856,1.0788453172192856
2023-07-03,427.5466003417969,427.82596471994304,426.429054627451,426.70844840618423,32793400,0.001150370783411958,0.006014167334418272,0.007888542358428443,1,0.001150370783411958,0.001150370783411958,1.0800863893520354,1.0800863893520354
2023-07-05,426.910888671875,427.64308112300023,425.72589763659545,425.73554103219334,58418400,-0.0014868827618174096,0.006000110878874831,0.007818682023107057,1,-0.0014868827618174096,-0.0014868827618174096,1.0784804275184343,1.0784804275184343
2023-07-06,423.56787109375,423.9917688689175,421.063028622468,423.3366648166022,80658300,-0.00783071518397005,0.006393105511455389,0.007768565056045953,1,-0.00783071518397005,-0.00783071518397005,1.0700351544590512,1.0700351544590512
