,Buy-and-Hold,Volatility-Aware Strategy
Annualized Return,0.23270089157677387,0.14114988083853053
Annualized Volatility,0.1502167090446999,0.08187970454857618
Sharpe Ratio,1.5491012488333054,1.723868956498146
Max Drawdown,-0.18755234489427264,-0.07553853882517714
